year,month,box,no2_mol_m2,n_obs
2018,7,UB_METRO,1.7215882164254284e-05,18.59
2018,8,UB_METRO,1.975897749768575e-05,20.15
2018,9,UB_METRO,1.8671457792941343e-05,21.88
2018,10,UB_METRO,3.1292095763152295e-05,32.99
2018,11,UB_METRO,3.468316044736814e-05,31.18
2018,12,UB_METRO,4.316425114717404e-05,22.83
2019,1,UB_METRO,5.05408084236398e-05,27.44
2019,2,UB_METRO,4.219479263867051e-05,30.07
2019,3,UB_METRO,1.7955402493075185e-05,33.81
2019,4,UB_METRO,1.7974349113992338e-05,21.62
2019,5,UB_METRO,1.6895924892411512e-05,26.75
2019,6,UB_METRO,1.925192291571169e-05,20.22
2019,7,UB_METRO,1.985501080215104e-05,15.48
2019,8,UB_METRO,1.851390544826273e-05,22.04
2019,9,UB_METRO,1.9411956343643143e-05,32.83
2019,10,UB_METRO,2.279605275636762e-05,33.54
2019,11,UB_METRO,2.0232929519465808e-05,13.99
2019,12,UB_METRO,5.811472507956699e-05,19.65
2020,1,UB_METRO,7.386422262117521e-05,42.57
2020,2,UB_METRO,5.045778469204046e-05,35.73
2020,3,UB_METRO,2.3962747666888574e-05,36.25
2020,4,UB_METRO,2.0624722369694763e-05,34.66
2020,5,UB_METRO,1.729207920044913e-05,18.86
2020,6,UB_METRO,1.8048940393239385e-05,16.53
2020,7,UB_METRO,1.604898782845553e-05,22.34
2020,8,UB_METRO,1.6471165499375223e-05,17.3
2020,9,UB_METRO,1.7871043474382577e-05,26.23
2020,10,UB_METRO,2.6377359650593034e-05,30.37
2020,11,UB_METRO,3.3161022268554476e-05,19.67
2020,12,UB_METRO,0.0001372494962621156,0.07
2021,1,UB_METRO,0.00011127990344639287,0.14
2021,2,UB_METRO,5.1029530156855843e-05,1.24
2021,3,UB_METRO,2.4561244967161303e-05,11.21
2021,4,UB_METRO,2.6961882567228374e-05,16.93
2021,5,UB_METRO,1.609192879209057e-05,14.49
2021,6,UB_METRO,1.6121903998358616e-05,18.54
2021,7,UB_METRO,2.1391670803075026e-05,19.27
2021,8,UB_METRO,1.9309533253131902e-05,17.96
2021,9,UB_METRO,1.8146759358913218e-05,22.9
2021,10,UB_METRO,3.718454050779182e-05,22.79
2021,11,UB_METRO,2.786711768148206e-05,20.27
2021,12,UB_METRO,6.484604166740514e-05,0.61
2022,1,UB_METRO,0.0001171803166196096,0.95
2022,2,UB_METRO,8.334094245282554e-05,1.22
2022,3,UB_METRO,2.7210972680957743e-05,15.92
2022,4,UB_METRO,1.8385284784625604e-05,25.4
2022,5,UB_METRO,2.12778570512951e-05,26.16
2022,6,UB_METRO,1.7191656681895996e-05,21.64
2022,7,UB_METRO,1.380660176699542e-05,22.6
2022,8,UB_METRO,1.941156845998533e-05,24.34
2022,9,UB_METRO,2.2323983681901142e-05,32.01
2022,10,UB_METRO,2.7345674920656323e-05,23.83
2022,11,UB_METRO,8.271664456751457e-05,2.31
2022,12,UB_METRO,6.583391577002961e-05,0.06
2023,1,UB_METRO,0.00010081375546502059,0.27
2023,2,UB_METRO,3.65297388550769e-05,1.08
2023,3,UB_METRO,3.328487305233962e-05,23.4
2023,4,UB_METRO,2.25716342725024e-05,20.57
2023,5,UB_METRO,2.1322944000685062e-05,16.41
2023,6,UB_METRO,1.965525385468618e-05,23.6
2023,7,UB_METRO,1.5085365868946258e-05,15.5
2023,8,UB_METRO,2.0806704355596743e-05,25.61
2023,9,UB_METRO,1.860747047410141e-05,20.65
2023,10,UB_METRO,3.376296960176051e-05,37.76
2023,11,UB_METRO,8.375901098801525e-05,15.83
2023,12,UB_METRO,7.22239985998696e-05,29.26
2024,1,UB_METRO,8.796333262768376e-05,37.89
2024,2,UB_METRO,7.178952067628602e-05,33.29
2024,3,UB_METRO,4.518256951555977e-05,36.32
2024,4,UB_METRO,2.0540699703665735e-05,25.44
2024,5,UB_METRO,2.5167241687952503e-05,26.91
2024,6,UB_METRO,1.9420703925490313e-05,21.15
2024,7,UB_METRO,1.9877556592285607e-05,22.95
2024,8,UB_METRO,1.761528272767729e-05,19.92
2024,9,UB_METRO,2.244196029978871e-05,23.29
2024,10,UB_METRO,2.529558674071561e-05,28.63
2024,11,UB_METRO,3.832064022714097e-05,23.3
2024,12,UB_METRO,8.743584061693882e-05,17.49
2025,1,UB_METRO,8.699469762536137e-05,23.53
2025,2,UB_METRO,5.214275870166338e-05,26.86
2025,3,UB_METRO,3.129451387573667e-05,23.9
2025,4,UB_METRO,1.8448949087669522e-05,33.93
2025,5,UB_METRO,1.880687425938714e-05,22.97
2025,6,UB_METRO,1.9922765326242755e-05,17.29
2025,7,UB_METRO,2.0277289400337803e-05,25.71
2025,8,UB_METRO,2.0203157510156434e-05,21.81
2025,9,UB_METRO,2.641978373080417e-05,23.32
2025,10,UB_METRO,4.26456877738099e-05,24.32
2025,11,UB_METRO,6.057869040582552e-05,22.81
2025,12,UB_METRO,8.551634589075808e-05,22.23
2026,1,UB_METRO,9.471790370038451e-05,24.7
2026,2,UB_METRO,5.8017933399183124e-05,24.54
2026,3,UB_METRO,3.369472424030003e-05,28.22
2026,4,UB_METRO,2.171936318150918e-05,27.26
2026,5,UB_METRO,1.902182440179043e-05,20.26
2026,6,UB_METRO,2.072518186472647e-05,13.89
